Name,Goals,Assists,Minutes,Solo runs into attacking third,Solo runs into key area,Solo runs into penalty area,Deliveries into attacking third,Deliveries into a key area,Deliveries into penalty area,Total attempts,On target,Red cards,Yellow cards,Fouls committed,Tackles,Blocks
Hakan Çalhanoğlu,0,0,135,2,3,1,2,0,1,5,0,0,0,1,3,0
Oğuzhan Özyakup,0,0,136,4,3,1,6,4,2,0,0,0,0,1,2,0
Jonathan Williams,0,0,140,4,2,1,1,1,0,1,0,0,0,2,0,0
Pavel Mamaev,0,0,140,5,4,0,15,12,4,2,0,0,1,2,0,1
Dušan Švento,0,0,141,1,0,1,2,1,1,0,0,0,0,0,1,0
John Guidetti,0,0,143,0,0,0,2,1,1,1,0,0,0,1,0,1
Marouane Fellaini,0,0,144,1,3,1,9,5,1,2,0,0,2,7,1,0
Patrik Hrošovský,0,0,150,2,1,0,3,2,1,0,0,0,1,3,0,0
Adrian Popa,0,0,150,0,1,0,3,4,0,0,0,0,1,2,0,0
Răzvan Raţ,0,0,152,0,0,0,16,3,2,1,0,0,1,2,2,0
Thiago Motta,0,0,154,1,1,0,9,2,0,0,0,0,2,5,0,2
Viktor Pečovský,0,0,156,0,0,0,5,2,0,1,0,0,1,3,1,1
Shane Duffy,0,0,156,1,1,0,0,0,1,3,0,1,0,3,0,1
Aleksandar Dragović,0,0,156,2,2,0,18,10,1,1,0,1,2,4,0,2
Tomasz Jodłowiec,0,0,157,0,1,1,5,2,1,2,1,0,0,2,1,1
Dries Mertens,0,0,158,4,6,4,6,11,5,12,4,0,0,2,0,0
Aleksandr Golovin,0,0,160,2,2,0,5,3,0,2,0,0,0,3,0,0
Andi Lila,0,0,161,3,0,0,6,2,2,1,0,0,0,3,2,1
Nicolae Stanciu,0,0,162,4,3,0,7,6,4,5,0,0,0,2,0,0
Burim Kukeli,0,0,164,1,1,0,4,0,0,0,0,0,2,4,1,1
Serhiy Sydorchuk,0,0,166,1,1,0,6,4,2,2,0,0,1,3,1,1
Ádám Pintér,0,0,166,3,3,0,8,2,1,2,1,0,0,0,0,0
Martin Harnik,0,0,167,2,2,0,0,0,0,2,0,0,1,4,0,0
Albin Ekdal,0,0,173,6,3,0,8,3,2,2,1,0,1,3,0,1
Viktor Kovalenko,0,0,173,1,2,2,4,2,1,2,0,0,0,2,0,0
Gergő Lovrencsics,0,0,173,4,1,2,1,0,3,5,2,0,0,3,0,2
Arlind Ajeti,0,0,175,0,0,0,3,2,0,0,0,0,0,1,1,4
Roman Zozulya,0,0,175,1,2,0,1,2,0,4,2,0,0,5,0,0
Richard Keogh,0,0,180,0,0,0,2,0,1,0,0,0,0,1,1,0
Tomáš Hubočan,0,0,180,0,0,0,5,0,0,0,0,0,0,2,1,3
